,date,actions
0,2023-01-04,[0]
1,2023-01-05,[19]
2,2023-01-06,[100]
3,2023-01-09,[-34]
4,2023-01-10,[100]
5,2023-01-11,[-100]
6,2023-01-12,[100]
7,2023-01-13,[-9]
8,2023-01-17,[42]
9,2023-01-18,[100]
10,2023-01-19,[38]
11,2023-01-20,[96]
12,2023-01-23,[-71]
13,2023-01-24,[-25]
14,2023-01-25,[37]
15,2023-01-26,[100]
16,2023-01-27,[12]
17,2023-01-30,[100]
18,2023-01-31,[59]
19,2023-02-01,[100]
20,2023-02-02,[0]
21,2023-02-03,[100]
22,2023-02-06,[100]
23,2023-02-07,[20]
24,2023-02-08,[37]
25,2023-02-09,[14]
26,2023-02-10,[38]
27,2023-02-13,[13]
28,2023-02-14,[90]
29,2023-02-15,[-4]
30,2023-02-16,[-100]
31,2023-02-17,[100]
32,2023-02-21,[100]
33,2023-02-22,[64]
34,2023-02-23,[44]
35,2023-02-24,[-60]
36,2023-02-27,[48]
37,2023-02-28,[-100]
38,2023-03-01,[87]
39,2023-03-02,[80]
40,2023-03-03,[71]
41,2023-03-06,[-27]
42,2023-03-07,[-78]
43,2023-03-08,[-83]
44,2023-03-09,[53]
45,2023-03-10,[100]
46,2023-03-13,[100]
47,2023-03-14,[54]
48,2023-03-15,[43]
49,2023-03-16,[100]
50,2023-03-17,[42]
51,2023-03-20,[-47]
52,2023-03-21,[62]
53,2023-03-22,[-83]
54,2023-03-23,[94]
55,2023-03-24,[-11]
56,2023-03-27,[-63]
57,2023-03-28,[-100]
58,2023-03-29,[77]
59,2023-03-30,[-2]
60,2023-03-31,[100]
61,2023-04-03,[-4]
