,date,actions
0,2024-01-05,[0]
1,2024-01-08,[0]
2,2024-01-09,[0]
3,2024-01-10,[0]
4,2024-01-11,[0]
5,2024-01-12,[0]
6,2024-01-16,[0]
7,2024-01-17,[0]
8,2024-01-18,[0]
9,2024-01-19,[0]
10,2024-01-22,[0]
11,2024-01-23,[0]
12,2024-01-24,[0]
13,2024-01-25,[0]
14,2024-01-26,[0]
15,2024-01-29,[0]
16,2024-01-30,[0]
17,2024-01-31,[0]
18,2024-02-01,[0]
19,2024-02-02,[0]
20,2024-02-05,[0]
21,2024-02-06,[0]
22,2024-02-07,[0]
23,2024-02-08,[0]
24,2024-02-09,[0]
25,2024-02-12,[0]
26,2024-02-13,[0]
27,2024-02-14,[0]
28,2024-02-15,[0]
29,2024-02-16,[0]
30,2024-02-20,[0]
31,2024-02-21,[0]
32,2024-02-22,[0]
33,2024-02-23,[0]
34,2024-02-26,[0]
35,2024-02-27,[0]
36,2024-02-28,[0]
37,2024-02-29,[0]
38,2024-03-01,[0]
39,2024-03-04,[0]
40,2024-03-05,[0]
41,2024-03-06,[0]
42,2024-03-07,[0]
43,2024-03-08,[0]
44,2024-03-11,[0]
45,2024-03-12,[0]
46,2024-03-13,[0]
47,2024-03-14,[0]
48,2024-03-15,[0]
49,2024-03-18,[0]
50,2024-03-19,[0]
51,2024-03-20,[0]
52,2024-03-21,[0]
53,2024-03-22,[0]
54,2024-03-25,[0]
55,2024-03-26,[0]
56,2024-03-27,[0]
57,2024-03-28,[0]
58,2024-04-01,[0]
59,2024-04-02,[0]
60,2024-04-03,[0]
61,2024-04-04,[0]
